math,physics,chemistry,cs,coding_interest,analytical_interest,machine_interest,building_interest,electronics_interest,logic_aptitude,target_career
82,69,79,100,91,24,13,45,41,58,Data Science / AI
71,68,93,88,23,96,79,21,85,84,Electrical Engineering
67,80,63,66,13,21,37,39,74,33,Electrical Engineering
78,43,44,64,93,99,79,63,38,87,Cybersecurity
59,76,56,49,10,30,99,64,53,65,Mechanical Engineering
96,68,71,49,37,53,23,21,58,42,Civil Engineering
66,73,52,81,54,87,43,15,68,98,Data Science / AI
65,67,60,100,58,20,80,47,90,76,Cloud / DevOps
74,56,82,53,100,18,15,94,39,67,Software Development
78,42,50,78,39,22,58,45,68,76,Cybersecurity
86,74,68,69,57,55,36,95,44,39,Civil Engineering
52,61,63,94,87,91,31,78,41,50,Robotics / Automation
80,45,74,68,58,44,91,98,81,58,Electronics & Communication
64,81,85,91,17,39,14,50,61,64,Data Science / AI
62,67,74,92,37,82,50,37,93,93,Electrical Engineering
67,69,53,53,92,68,28,43,27,61,Electronics & Communication
87,92,68,93,78,43,84,64,84,81,Cybersecurity
80,62,75,100,38,27,75,73,21,36,Data Science / AI
74,95,40,89,29,90,30,97,64,38,Civil Engineering
76,67,71,40,59,58,86,69,77,62,Electrical Engineering
71,77,92,65,97,24,97,78,44,73,Software Development
62,64,83,80,47,65,30,68,10,63,Electronics & Communication
67,79,71,92,32,74,23,90,48,94,Civil Engineering
64,67,64,48,87,35,29,57,30,99,Electronics & Communication
79,75,70,70,10,86,51,72,12,44,Civil Engineering
53,65,64,60,56,49,40,17,40,40,Data Science / AI
72,78,98,78,72,18,78,26,26,90,Mechanical Engineering
78,70,41,74,43,77,87,64,37,99,Cloud / DevOps
75,100,67,80,49,61,95,93,57,86,Robotics / Automation
74,54,87,88,25,41,38,18,53,32,Electronics & Communication
86,58,91,49,39,85,38,10,19,37,Cloud / DevOps
83,100,55,64,18,14,52,19,75,60,Electronics & Communication
76,64,46,76,95,72,37,79,26,90,Data Science / AI
59,79,56,100,70,62,34,22,22,85,Civil Engineering
63,67,82,52,64,62,69,16,96,42,Software Development
78,91,45,78,61,53,23,41,34,54,Electronics & Communication
78,83,51,51,67,27,64,33,45,89,Cloud / DevOps
82,76,73,81,19,66,80,22,16,99,Mechanical Engineering
64,75,74,62,21,40,31,62,72,91,Cloud / DevOps
100,79,52,86,61,17,31,58,10,79,Mechanical Engineering
60,83,87,60,68,46,64,99,81,92,Civil Engineering
89,78,82,100,29,34,47,37,17,99,Software Development
71,60,56,60,50,17,16,84,71,94,Electrical Engineering
73,77,74,89,17,75,20,33,18,38,Cloud / DevOps
75,93,66,100,61,25,82,41,84,35,Mechanical Engineering
84,59,53,83,63,94,84,82,76,70,Electronics & Communication
71,82,77,73,36,95,50,40,43,80,Cybersecurity
62,49,63,90,95,92,48,68,50,39,Software Development
78,53,72,81,68,89,82,22,19,98,Cloud / DevOps
61,74,70,54,74,43,26,54,18,61,Civil Engineering
80,80,86,93,46,30,66,79,100,68,Electrical Engineering
54,57,77,84,95,80,48,94,23,47,Mechanical Engineering
82,100,78,95,24,23,80,29,44,66,Mechanical Engineering
89,81,65,88,53,36,97,91,43,94,Robotics / Automation
63,68,62,76,42,16,21,91,64,65,Civil Engineering
100,43,80,45,15,10,52,26,91,63,Electrical Engineering
67,88,70,55,66,80,100,64,81,31,Mechanical Engineering
64,82,59,78,19,98,29,79,14,77,Civil Engineering
75,62,100,86,84,80,28,65,26,35,Cybersecurity
44,74,60,90,56,15,55,36,97,61,Data Science / AI
63,70,77,90,55,81,62,89,29,60,Civil Engineering
56,66,62,63,30,32,62,13,32,72,Electrical Engineering
100,78,51,91,95,41,44,30,99,43,Cloud / DevOps
100,87,47,66,14,70,38,35,68,74,Mechanical Engineering
94,61,76,88,39,38,13,94,34,81,Civil Engineering
61,71,40,56,45,18,45,54,92,95,Electrical Engineering
71,53,94,49,96,78,52,13,24,63,Data Science / AI
68,73,91,49,84,43,14,23,86,85,Electronics & Communication
92,72,55,83,50,65,87,75,24,79,Mechanical Engineering
77,62,71,68,42,15,100,65,10,96,Electronics & Communication
76,81,93,52,97,95,35,56,65,38,Cybersecurity
100,42,67,85,89,50,94,25,48,94,Cybersecurity
79,62,66,66,95,62,51,61,99,67,Data Science / AI
66,84,75,62,34,63,95,58,96,52,Robotics / Automation
88,76,82,86,61,80,10,48,46,56,Electrical Engineering
62,63,81,85,84,87,93,51,69,86,Robotics / Automation
74,73,89,64,96,37,75,70,31,40,Cybersecurity
83,68,66,94,75,94,91,89,52,41,Civil Engineering
